0.923541222717 + 0.559513597422j
0.15977507568 + 0.395333373272j
0.751537929099 + 0.954812261554j
0.435947097835 + 0.268500089236j
0.728048675374 + 0.801424307808j
0.558530535967 + 0.610676051334j
0.319440324312 + 0.508074864726j
0.590369499243 + 0.661425299908j
0.800993920874 + 0.163488903564j
0.284437178356 + 0.176996123111j
0.182029608905 + 0.950547314822j
0.838876804264 + 0.133797051348j
0.00611932690872 + 0.944082358196j
0.288880502019 + 0.959326902281j
0.246710496313 + 0.806903806598j
0.655817028565 + 0.173424260114j
0.954514364581 + 0.0878590697328j
0.324210681275 + 0.488397777195j
0.223430153387 + 0.586462116804j
0.213802678166 + 0.350167320776j
0.379082406829 + 0.152596481348j
0.346083868732 + 0.244321750077j
0.426681218923 + 0.185971895694j
0.752972388525 + 0.126107988533j
0.322398917039 + 0.243829865184j
0.773781355432 + 0.0744731579507j
0.884394430965 + 0.270636977354j
0.0113717908665 + 0.134107680504j
0.783421463476 + 0.729012473923j
0.157715957271 + 0.442988883232j
0.342453386615 + 0.91796717045j
0.963334188826 + 0.921313143961j
