0.647820106719 + 0.856582451728j
0.744696406302 + 0.227974255475j
0.603925673064 + 0.691560011202j
0.636368854111 + 0.0327329176173j
0.926512749495 + 0.247106536702j
0.190143617883 + 0.0475510431034j
0.43067290725 + 0.518677885562j
0.172610616293 + 0.758026649934j
0.00846403305505 + 0.466829130359j
0.811832428237 + 0.565232190578j
0.858532678771 + 0.233224701323j
0.144172008898 + 0.952032875398j
0.422358746007 + 0.241330798979j
0.00754376502718 + 0.830723568216j
0.231165963984 + 0.13961343925j
0.693886785188 + 0.789439988278j
0.446840342493 + 0.079093231881j
0.667835669986 + 0.344900603988j
0.0139054045161 + 0.851688849215j
0.151156286891 + 0.827850282384j
0.763639665988 + 0.885588577096j
0.191971413736 + 0.586322455969j
0.813778552197 + 0.198991569489j
0.263638740003 + 0.0861897751137j
0.351419862476 + 0.544272393835j
0.40963153803 + 0.744172723761j
0.400216532432 + 0.83035105389j
0.337837237665 + 0.342422784649j
0.903635815434 + 0.155831579086j
0.027869583822 + 0.738623412638j
0.543359917787 + 0.18426641588j
0.639167417711 + 0.304850964763j
